FIRM_NAME	SHORT_NAME	CASE_NAME	JURISDICTION	COURT	DOCKET	DATE_FILED	OFFENSE_TAGS	ACTUAL_CHARGES	CONFIDENCE	ATTORNEY	DESCRIPTION	SOURCE_URL	SOURCE_TYPE
Lamano Law Office	lamano-law-office	Lamano case result - domestic violence and DUI dismissed	State/local firm-reported case result				domestic-violence, dui, assault	Domestic violence and DUI after restaurant incident	medium		A couple was accused after an incident outside a restaurant: the wife was arrested for DUI and the husband for domestic violence. Defense investigation showed inconsistencies and that clients were victims; charges were dismissed.	https://www.lamanolaw.com/successful-cases/	Firm public case-results page
Lamano Law Office	lamano-law-office	Lamano case result - felony DUI great bodily injury no jail	State/local firm-reported case result				dui	Felony DUI causing great bodily injury	medium		Client was accused of felony DUI causing great bodily injury after a golf outing and car accident. Defense mitigation and alcohol-treatment evidence led to no jail time and no strike.	https://www.lamanolaw.com/successful-cases/	Firm public case-results page
Lamano Law Office	lamano-law-office	Lamano case result - fourth offense felony DUI diversion	State/local firm-reported case result				dui	Fourth offense felony DUI with possible prison sentence	medium		Undocumented construction worker was accused of a fourth offense felony DUI with possible prison exposure. The case-result page reports a defense outcome avoiding the expected prison sentence.	https://www.lamanolaw.com/successful-cases/	Firm public case-results page
Lamano Law Office	lamano-law-office	Lamano case result - embezzlement dismissed	State/local firm-reported case result				embezzlement, theft, fraud	Ongoing embezzlement	medium		Young student was accused of ongoing embezzlement. The case was dismissed after counsel negotiated theft education classes instead of a criminal conviction.	https://www.lamanolaw.com/successful-cases/	Firm public case-results page
Lamano Law Office	lamano-law-office	Lamano case result - veteran DUI diversion dismissed	State/local firm-reported case result				dui	DUI after collision with parked car	medium		Decorated veteran accused of DUI after drinking and crashing into a parked car. Defense obtained military diversion based on PTSD and service history, and charges were dismissed.	https://www.lamanolaw.com/successful-cases/	Firm public case-results page
Lamano Law Office	lamano-law-office	Lamano case result - second DUI diversion dismissed	State/local firm-reported case result				dui	Second DUI with immigration consequences	medium		Asylum seeker with disabled spouse and child was accused of a second DUI. Defense persuaded the judge and DA to divert the case because of severe immigration and family consequences; charges were dismissed.	https://www.lamanolaw.com/successful-cases/	Firm public case-results page
Lamano Law Office	lamano-law-office	Lamano case result - felony gun possession	State/local firm-reported case result				firearm	Felony gun possession	medium		Senior citizen was accused of felony gun possession. Firm case-results page lists the matter among recent criminal defense victories.	https://www.lamanolaw.com/successful-cases/	Firm public case-results page
Lamano Law Office	lamano-law-office	Lamano case result - loaded concealed firearm in vehicle	State/local firm-reported case result				firearm	Carrying a loaded firearm and concealed weapon in vehicle	medium		Carpenter was accused of carrying a loaded firearm and having a concealed weapon in his vehicle. Firm case-results page lists the matter among recent victories.	https://www.lamanolaw.com/successful-cases/	Firm public case-results page
Lamano Law Office	lamano-law-office	Lamano case result - felony assault with deadly weapon	State/local firm-reported case result				assault	Felony assault with a deadly weapon causing great bodily injury	medium		Single mother was accused of felony assault with a deadly weapon causing great bodily injury and faced prison and a strike. The firm reports proving the other person was the aggressor and that client acted in self-defense.	https://www.lamanolaw.com/successful-cases/	Firm public case-results page
Lamano Law Office	lamano-law-office	Lamano case result - vehicular manslaughter	State/local firm-reported case result				vehicular-manslaughter, manslaughter	Vehicular manslaughter with four-year prison exposure	medium		Young man was accused of vehicular manslaughter and faced four years in prison. The case-results page lists the matter among recent victories.	https://www.lamanolaw.com/successful-cases/	Firm public case-results page
The Nieves Law Firm	the-nieves-law-firm	Nieves case result - domestic violence child endangerment dismissed	State/local firm-reported case result				domestic-violence	Domestic violence and child endangerment	medium		Client faced domestic violence and child endangerment allegations. Case was dismissed after completion of deferred entry of judgment.	https://thenieveslawfirm.com/about-us/	Firm public case-results page
The Nieves Law Firm	the-nieves-law-firm	Nieves case result - methamphetamine possession dismissed	State/local firm-reported case result				methamphetamine, drug-trafficking	Possession of methamphetamines with immigration consequences	medium		Client faced possession of methamphetamines with immigration consequences. Case was dismissed after completion of drug court.	https://thenieveslawfirm.com/about-us/	Firm public case-results page
The Nieves Law Firm	the-nieves-law-firm	Nieves case result - marijuana possession for sale dismissed	State/local firm-reported case result				drug-trafficking	Marijuana possession for sale	medium		Client faced marijuana possession for sale allegations. Firm reports all charges dismissed and property ordered returned.	https://thenieveslawfirm.com/about-us/	Firm public case-results page
The Nieves Law Firm	the-nieves-law-firm	Nieves case result - misdemeanor domestic battery dismissed	State/local firm-reported case result				domestic-violence	Misdemeanor domestic battery	medium		Client faced misdemeanor domestic battery. Firm reports the case was dismissed without trial.	https://thenieveslawfirm.com/about-us/	Firm public case-results page
The Nieves Law Firm	the-nieves-law-firm	Nieves case result - first offense DUI no charges	State/local firm-reported case result				dui	First offense DUI	medium		Client faced a first offense DUI. Firm reports no charges were filed.	https://thenieveslawfirm.com/about-us/	Firm public case-results page
The Nieves Law Firm	the-nieves-law-firm	Nieves case result - sexual assault no criminal charges	State/local firm-reported case result				sex-crimes	Title IX sexual assault allegations	medium		Client faced Title IX sexual assault allegations. Firm reports no criminal charges were filed.	https://thenieveslawfirm.com/about-us/	Firm public case-results page
The Nieves Law Firm	the-nieves-law-firm	Nieves case result - assault domestic violence burglary not guilty	State/local firm-reported case result				assault, domestic-violence, burglary	Second-degree assault, second-degree domestic violence, and first-degree burglary	medium	Gurjit Pandher	Client was alleged to have broken into a partner's house and assaulted two people with a coffee pot. Defense asserted self-defense and obtained not-guilty verdicts on all three counts after trial.	https://thenieveslawfirm.com/gurjit-pandher-bringing-results-experience-to-the-nieves-law-firm/	Firm public case-results page
