NAME	SHORT_NAME	WEBSITE	PHONE	EMAIL	INTAKE_URL	COUNTIES	PRIMARY_CHARGE_TAGS	CASE_COUNT	REPRESENTATIVE_CASES	SOURCE_URLS	PROFILE_TEXT
Law Office of Derek R. Ewin	derek-ewin	https://www.drewinlaw.com	+19252281600	drewin@drewinlaw.com	https://www.drewinlaw.com/	contra costa, alameda, solano	dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, white-collar-crime, fraud, probation-violation	0		https://www.drewinlaw.com/	Law Office of Derek R. Ewin is a Bay Area criminal defense firm. Counties served: contra costa, alameda, solano. Charge categories: dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, white-collar-crime, fraud, probation-violation. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Law Office of Diego E. Ortiz	diego-ortiz	https://www.diegoeortiz.com	+15106544470	diego@diegoeortiz.com	https://www.diegoeortiz.com/contact	alameda, contra costa, san francisco	dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation	0		https://www.diegoeortiz.com/contact	Law Office of Diego E. Ortiz is a Bay Area criminal defense firm. Counties served: alameda, contra costa, san francisco. Charge categories: dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Law Office of Javier Rios	javier-rios	https://www.javierlaw.com	+14084784444	rios@sjdefender.com	https://sjdefender.com/	santa clara, alameda, san mateo	dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation, murder, sex-crimes	0		https://www.javierlaw.com/contact/, https://sjdefender.com/practice-areas/	Law Office of Javier Rios is a Bay Area criminal defense firm. Counties served: santa clara, alameda, san mateo. Charge categories: dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation, murder, sex-crimes. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Law Office of Jeremy D. Blank	law-office-of-jeremy-d-blank	https://www.jeremyblank.com/	+14157102728	jdb@jeremyblank.com	https://www.jeremyblank.com/	san francisco	drug-trafficking, fraud, embezzlement, domestic-violence, assault, sex-crimes, vehicular-manslaughter, dui, robbery, burglary	0		https://www.jeremyblank.com/	Law Office of Jeremy D. Blank is a Bay Area criminal defense firm. Counties served: san francisco. Charge categories: drug-trafficking, fraud, embezzlement, domestic-violence, assault, sex-crimes, vehicular-manslaughter, dui, robbery, burglary. Caller case details to match: drug trafficking, possession with intent, distribution of, conspiracy to distribute, fraud, embezzlement, domestic violence, corporal injury, spousal abuse, domestic battery, assault, sex crimes, sex crime, sexual assault, rape, solicitation, child molest, vehicular manslaughter, gross vehicular manslaughter, dui, driving under the influence, vehicle code section 23152, robbery, carjacking. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Law Office of John P. Campion	law-office-of-john-p-campion	https://www.jpcampionlaw.com/	+14154952009	jpcampionlaw@sbcglobal.net	https://www.jpcampionlaw.com/	san francisco, alameda, contra costa, san mateo, santa clara	dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, white-collar-crime, fraud, probation-violation, vehicular-manslaughter, embezzlement, sex-crimes	0		https://www.jpcampionlaw.com/	Law Office of John P. Campion is a Bay Area criminal defense firm. Counties served: san francisco, alameda, contra costa, san mateo, santa clara. Charge categories: dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, white-collar-crime, fraud, probation-violation, vehicular-manslaughter, embezzlement, sex-crimes. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Law Office of M. Gerald Schwartzbach	mgs-law	https://www.mgslawyer.com	+14155639884	info@mgslawyer.com	https://www.mgslawyer.com/contact-us/	san francisco, marin, alameda, san mateo	dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, white-collar-crime, fraud, probation-violation	0		https://www.mgslawyer.com/contact-us/	Law Office of M. Gerald Schwartzbach is a Bay Area criminal defense firm. Counties served: san francisco, marin, alameda, san mateo. Charge categories: dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, white-collar-crime, fraud, probation-violation. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Law Office of Robert Tayac	bay-area-dui-defense	https://bayareaduidefense.com	+14155526000	rtayac@aol.com	https://bayareaduidefense.com/contact-us/	san francisco, alameda, san mateo, contra costa, marin	dui, reckless-driving, probation-violation	0		https://bayareaduidefense.com/contact-us/	Law Office of Robert Tayac is a Bay Area criminal defense firm. Counties served: san francisco, alameda, san mateo, contra costa, marin. Charge categories: dui, reckless-driving, probation-violation. Caller case details to match: dui, driving under the influence, vehicle code section 23152, reckless driving, probation violation, violation of probation. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Law Office of Vijay Dinakar	vijay-dinakar	https://vijaylaw.com	+14082752307	info@vijaylaw.com	https://www.vijaylaw.com/	santa clara, alameda, san mateo	dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, white-collar-crime, fraud, probation-violation, violent-crime, immigration-consequences	0		https://vijaylaw.com/contact/, https://www.vijaylaw.com/	Law Office of Vijay Dinakar is a Bay Area criminal defense firm. Counties served: santa clara, alameda, san mateo. Charge categories: dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, white-collar-crime, fraud, probation-violation, violent-crime, immigration-consequences. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Law Office of William H. Kimball	law-office-of-william-h-kimball	https://www.wkimball.com/	+15107041400	wkimball@wkimball.com	https://www.wkimball.com/		insider-trading, securities-fraud, wire-fraud, fraud, white-collar-crime	0		https://www.wkimball.com/	Law Office of William H. Kimball is a Bay Area criminal defense firm. Charge categories: insider-trading, securities-fraud, wire-fraud, fraud, white-collar-crime. Caller case details to match: insider trading, securities fraud, wire fraud, fraud, white collar crime, white collar, economic crime, complex economic crimes, embezzlement. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Law Offices of Jesse J. Garcia	jesse-garcia	https://www.jessejgarcialaw.com	+19252470094	jesse@jessejgarcialaw.com	https://www.jessejgarcialaw.com/	contra costa, alameda, solano	dui, domestic-violence, assault, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation	0		https://www.jessejgarcialaw.com/	Law Offices of Jesse J. Garcia is a Bay Area criminal defense firm. Counties served: contra costa, alameda, solano. Charge categories: dui, domestic-violence, assault, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking, burglary, probation violation, violation of probation. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Law Offices of Johnson & Johnson	johnson-and-johnson	https://www.johnsoncriminaldefense.com	+19254725522	CHoorfar@Hoorfarlaw.com	https://www.johnsoncriminaldefense.com/	contra costa, alameda, solano	dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation	0		https://www.johnsoncriminaldefense.com/	Law Offices of Johnson & Johnson is a Bay Area criminal defense firm. Counties served: contra costa, alameda, solano. Charge categories: dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Law Offices of Majeed S. Samara	majeed-samara	https://www.samaralaw.com	+16504375230	majeed@samaralaw.com	https://www.samaralaw.com/contact/	san mateo, san francisco, santa clara, alameda	dui, reckless-driving, domestic-violence, assault, drug-possession, drug-trafficking, theft, probation-violation	0		https://www.samaralaw.com/contact/	Law Offices of Majeed S. Samara is a Bay Area criminal defense firm. Counties served: san mateo, san francisco, santa clara, alameda. Charge categories: dui, reckless-driving, domestic-violence, assault, drug-possession, drug-trafficking, theft, probation-violation. Caller case details to match: dui, driving under the influence, vehicle code section 23152, reckless driving, domestic violence, corporal injury, spousal abuse, domestic battery, assault, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, probation violation, violation of probation. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Lipton Law Office	lipton-law	https://liptonlawoffice.com	+14156587873	info@liptonlawoffice.com	https://liptonlawoffice.com/	san francisco, san mateo, marin, alameda	dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation	0		https://liptonlawoffice.com/	Lipton Law Office is a Bay Area criminal defense firm. Counties served: san francisco, san mateo, marin, alameda. Charge categories: dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Mowry Law Group	mowry-law	https://www.mowrylawgroup.com	+15105429355	help@mowrylawgroup.com	https://www.mowrylawgroup.com/	san francisco, alameda, santa clara, contra costa, san mateo	dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation, reckless-driving, fraud	0		https://www.mowrylawgroup.com/contact/, https://www.mowrylawgroup.com/	Mowry Law Group is a Bay Area criminal defense firm. Counties served: san francisco, alameda, santa clara, contra costa, san mateo. Charge categories: dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation, reckless-driving, fraud. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Osterhoudt Law	osterhoudt-law	https://www.osterhoudtlaw.com	+14152365830	info@osterhoudtlaw.com	https://www.osterhoudtlaw.com/contact/	san francisco, alameda, san mateo, contra costa	dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, white-collar-crime, fraud, probation-violation	0		https://www.osterhoudtlaw.com/contact/	Osterhoudt Law is a Bay Area criminal defense firm. Counties served: san francisco, alameda, san mateo, contra costa. Charge categories: dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, white-collar-crime, fraud, probation-violation. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Perani Law	perani-law	https://peranilaw.com/	+14159961131	michelina@peranilaw.com	https://peranilaw.com/	alameda, contra costa, marin, san francisco, san mateo, santa clara	dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, white-collar-crime, fraud, probation-violation, reckless-driving	0		https://www.peranilaw.com/contact-us/, https://peranilaw.com/	Perani Law is a Bay Area criminal defense firm. Counties served: alameda, contra costa, marin, san francisco, san mateo, santa clara. Charge categories: dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, white-collar-crime, fraud, probation-violation, reckless-driving. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Raphael Law	raphael-law	https://www.napacriminallaw.com	+17072710141	NapaCriminalLawyer@gmail.com	https://www.napacriminallaw.com/	napa, solano	dui, domestic-violence, assault, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation	0		https://www.napacriminallaw.com/	Raphael Law is a Bay Area criminal defense firm. Counties served: napa, solano. Charge categories: dui, domestic-violence, assault, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking, burglary, probation violation, violation of probation. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Silver Law Firm	silver-law	https://www.esilverlaw.com	+15109950000	advice@esilverlaw.com	https://www.esilverlaw.com/contact/	alameda, contra costa, san francisco	dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, white-collar-crime, fraud, probation-violation	0		https://www.esilverlaw.com/contact/	Silver Law Firm is a Bay Area criminal defense firm. Counties served: alameda, contra costa, san francisco. Charge categories: dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, white-collar-crime, fraud, probation-violation. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Somers Law Office	somers-law	https://www.somerslawoffice.com	+17072002734	ted@somerslawoffice.com	https://www.somerslawoffice.com/	sonoma, marin, napa	dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation	0		https://www.somerslawoffice.com/	Somers Law Office is a Bay Area criminal defense firm. Counties served: sonoma, marin, napa. Charge categories: dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Swanson and McNamara LLP	swanson-and-mcnamara-llp	https://www.swansonmcnamara.com	+14154773800	maeve@smllp.law			fraud, wire-fraud, money-laundering, drug-trafficking, fentanyl	2	United States v. Baquedano (drug-trafficking, fentanyl: knowingly possessed with intent to distribute a controlled substance; government detention motion describes the charged offense as drug trafficking involving a kilogram of fentanyl); United States v. Schatt et al (fraud, wire-fraud, money-laundering: Conspiracy to commit wire fraud; wire fraud; money laundering transactions under 18 U.S.C. 1957; financial transactions to promote unlawful activity under 18 U.S.C. 1956(a)(1)(A).)	https://www.courtlistener.com/docket/73319493/united-states-v-baquedano/, https://www.docketalarm.com/cases/california_northern_district_court/3--24-cr-00243/usa_v._schatt_et_al/59/	Swanson and McNamara LLP is a Bay Area criminal defense firm. Charge categories: fraud, wire-fraud, money-laundering, drug-trafficking, fentanyl. Caller case details to match: fraud, wire fraud, money laundering, drug trafficking, possession with intent, distribution of, conspiracy to distribute, fentanyl. Representative cases: United States v. Baquedano (drug-trafficking, fentanyl: knowingly possessed with intent to distribute a controlled substance; government detention motion describes the charged offense as drug trafficking involving a kilogram of fentanyl); United States v. Schatt et al (fraud, wire-fraud, money-laundering: Conspiracy to commit wire fraud; wire fraud; money laundering transactions under 18 U.S.C. 1957; financial transactions to promote unlawful activity under 18 U.S.C. 1956(a)(1)(A).). Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
