NAME	SHORT_NAME	WEBSITE	PHONE	EMAIL	INTAKE_URL	COUNTIES	PRIMARY_CHARGE_TAGS	SOURCE_URL	NOTES
Mowry Law Group	Mowry Law	https://www.mowrylawgroup.com	(510) 542-9355	help@mowrylawgroup.com	https://www.mowrylawgroup.com/contact/	Alameda; Santa Clara; Contra Costa; San Francisco	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation; reckless driving	https://www.mowrylawgroup.com/contact/	Official contact page; also lists San Jose phone.
Law Office of John P. Campion	JPC Law	https://www.jpcampionlaw.com	(415) 495-2009	jpcampionlaw@sbcglobal.net	https://www.jpcampionlaw.com/	San Francisco; Alameda; Contra Costa; San Mateo; Santa Clara	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://www.jpcampionlaw.com/	Official site lists email and broad criminal-defense charges.
Knight Law	Knight Law	https://www.knightjustice.com	(408) 877-6177	info@knightjustice.com	https://www.knightjustice.com/	Santa Clara; San Mateo; Alameda	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation; reckless driving	https://www.knightjustice.com/	Official site with phone, email, and form.
Law Office of Allen C. Speare	Allen Speare	https://www.allenspeare.com	(408) 295-1180	aspeare@att.net	https://www.allenspeare.com/	Santa Clara; Alameda; San Mateo	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.allenspeare.com/	Official criminal-defense site with email.
Law Office of Vijay Dinakar	Vijay Dinakar	https://vijaylaw.com	(408) 275-2307	info@vijaylaw.com	https://vijaylaw.com/contact/	Santa Clara; Alameda; San Mateo	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://vijaylaw.com/contact/	Official contact page.
Law Office of Gregory M. Alonzo	Gregory Alonzo	https://www.alonzocriminaldefense.com	(408) 673-9124		https://www.alonzocriminaldefense.com/contact/	Santa Clara; Alameda; San Mateo	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.alonzocriminaldefense.com/contact/	Official contact page.
Law Office of Adrienne Dell	Adrienne Dell	https://www.adriannedelllaw.com	(408) 217-2575		https://www.adriannedelllaw.com/	Santa Clara; Alameda; San Mateo	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.adriannedelllaw.com/	Official site with contact form.
Law Office of Steven H. Nakano	Steven Nakano	https://www.nakanolaw.com	(408) 998-1985		https://www.nakanolaw.com/	Santa Clara; Alameda; San Mateo	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation; reckless driving	https://www.nakanolaw.com/	Official criminal-defense site with contact form.
Law Offices of Holden W. Green	Holden Green	https://holdengreen.com	(408) 451-8449		https://holdengreen.com/	Santa Clara; Alameda; San Mateo	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://holdengreen.com/	Official San Jose criminal defense site.
Law Office of Javier Rios	Javier Rios	https://www.javierlaw.com	(408) 478-4444	rios@javierlaw.com	https://www.javierlaw.com/contact/	Santa Clara; Alameda; San Mateo	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.javierlaw.com/contact/	Official contact page with email.
Roberts Elliott Law Corp	Roberts Elliott	https://www.robertselliott.com	(408) 275-9800		https://www.robertselliott.com/contact-us/	Santa Clara; Alameda; San Mateo	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://www.robertselliott.com/contact-us/	Official contact page.
VIB Law Office	VIB Law	https://viblaw.com	(408) 920-9720	contact@viblaw.com	https://viblaw.com/contact/	Santa Clara; Alameda; San Mateo	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://viblaw.com/contact/	Official contact page.
Law Offices of Bobby Lau	Bobby Lau	https://www.bobbylaulaw.com	(408) 568-7578		https://www.bobbylaulaw.com/contact-us/	Santa Clara; Alameda; San Mateo	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.bobbylaulaw.com/contact-us/	Official contact page.
Lipton Law Office	Lipton Law	https://liptonlawoffice.com	(415) 658-7873	info@liptonlawoffice.com	https://liptonlawoffice.com/	San Francisco; San Mateo; Marin; Alameda	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://liptonlawoffice.com/	Official site with phone, email, and contact form.
Law Offices of Andrew Cantor	Andrew Cantor	https://www.andrewcantor.com	(415) 500-5849	cantor@andrewcantor.com	https://www.andrewcantor.com/contact/	San Francisco; San Mateo; Marin; Alameda	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://www.andrewcantor.com/contact/	Official contact page.
Presidio Law Group APC	Presidio Law	https://presidiolaw.com	(415) 225-6353		https://presidiolaw.com/	San Francisco; Alameda; San Mateo; Marin; Contra Costa	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://presidiolaw.com/	Official homepage with contact form; states Bay Area criminal defense.
Law Office of E. Michael Linscheid	Gasner Criminal Law	https://www.gasnerlaw.com	(415) 782-6002		https://www.gasnerlaw.com/contact-us/	San Francisco; Alameda; San Mateo; Marin; Contra Costa	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://www.gasnerlaw.com/contact-us/	Official contact page for San Francisco criminal defense firm.
Perani Law	Perani Law	https://www.peranilaw.com	(415) 996-1131		https://www.peranilaw.com/contact-us/	San Francisco; Alameda; San Mateo; Contra Costa; Santa Clara	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://www.peranilaw.com/contact-us/	Official contact page.
Rien, Adams & Cox, LLP	Rien Adams Cox	https://www.criminalaw.net	(415) 982-6545		https://www.criminalaw.net/contact/	San Francisco; Alameda; Contra Costa; San Mateo; Santa Clara	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://www.criminalaw.net/contact/	Official contact page for criminal defense firm.
Osterhoudt Law	Osterhoudt Law	https://www.osterhoudtlaw.com	(415) 236-5830	info@osterhoudtlaw.com	https://www.osterhoudtlaw.com/contact/	San Francisco; Alameda; San Mateo; Contra Costa	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://www.osterhoudtlaw.com/contact/	Official contact page.
Law Office of M. Gerald Schwartzbach	MGS Law	https://www.mgslawyer.com	(415) 563-9884	info@mgslawyer.com	https://www.mgslawyer.com/contact-us/	San Francisco; Marin; Alameda; San Mateo	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://www.mgslawyer.com/contact-us/	Official contact page.
ASH Legal	ASH Legal	https://ashlegal.com	(415) 890-1021	info@ashlegal.com	https://ashlegal.com/contact/	San Francisco; Alameda; San Mateo; Contra Costa	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://ashlegal.com/contact/	Official contact page.
Bay Area Criminal Lawyers PC	BACL PC	https://www.bayareacrimlaw.com	(415) 552-1215	info@baclpc.com	https://www.bayareacrimlaw.com/contact-us/	San Francisco; Alameda; San Mateo; Contra Costa; Santa Clara	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://www.bayareacrimlaw.com/contact-us/	Official contact page.
Law Offices of Marsanne Weese	Marsanne Weese	https://weeselaw.com	(415) 398-4300	weese@weeselaw.com	https://weeselaw.com/	San Francisco; Alameda; San Mateo; Contra Costa	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://weeselaw.com/	Official site with email and criminal-defense profile.
Law Office of Robert Tayac	Bay Area DUI Defense	https://bayareaduidefense.com	(415) 552-6000		https://bayareaduidefense.com/contact-us/	San Francisco; Alameda; San Mateo; Contra Costa; Marin	DUI; reckless driving; probation violation	https://bayareaduidefense.com/contact-us/	Official contact page; DUI-focused routing candidate.
Law Office of David R. Franklin	David Franklin	https://bayarealawyers.com	(650) 366-8729	dfranklin@bayarealawyers.com	https://bayarealawyers.com/contact-us/	San Mateo; Santa Clara; Alameda; San Francisco	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://bayarealawyers.com/contact-us/	Official contact page.
Law Offices of Paula Canny	Paula Canny	https://www.paulacanny.com	(650) 964-2231		https://www.paulacanny.com/contact	San Mateo; Santa Clara; San Francisco	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://www.paulacanny.com/contact	Official contact page.
Jackson Law	Bethani Jackson Law	https://bethanijacksonlaw.com	(650) 249-1369	bethanijacksonlaw@gmail.com	https://bethanijacksonlaw.com/	San Mateo; Santa Clara; San Francisco; Alameda	DUI; domestic violence; assault; drug possession/sales; theft; robbery; burglary; probation violation	https://bethanijacksonlaw.com/	Official homepage with phone, email, and contact form.
DefendCA	DefendCA	https://www.defendca.com	(650) 241-1214		https://www.defendca.com/contact-us/	San Mateo; Santa Clara; San Francisco; Alameda	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.defendca.com/contact-us/	Official contact page.
Law Offices of Jeffrey B. Hayden	Jeffrey Hayden	https://www.jeffreyhayden.com	(650) 593-3200		https://www.jeffreyhayden.com/	San Mateo; Santa Clara; San Francisco	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://www.jeffreyhayden.com/	Official site with contact form.
Gabriela Guraiib Law	Gabriela Guraiib	https://www.guraiib.com	(650) 761-0148	gabriela@guraiib.com	https://www.guraiib.com/contact	San Mateo; Santa Clara; San Francisco	DUI; domestic violence; assault; drug possession/sales; theft; robbery; burglary; probation violation	https://www.guraiib.com/contact	Official contact page.
Law Offices of Peter F. Goldscheider	Peter Goldscheider	https://www.gdcriminaldefense.com	(650) 364-6361	peter@gdcriminaldefense.com	https://www.gdcriminaldefense.com/contact/	San Mateo; Santa Clara; San Francisco	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.gdcriminaldefense.com/contact/	Official contact page.
Vandeveld Law Office	Vandeveld Law	https://vandeveldlaw.com	(650) 364-1435		https://vandeveldlaw.com/contact/	San Mateo; Santa Clara; San Francisco	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://vandeveldlaw.com/contact/	Official contact page.
Nolan Barton Olmos & Luciano LLP	NBO Law	https://www.nbo.law	(650) 327-8600		https://www.nbo.law/contact-us/	Santa Clara; San Mateo; Alameda; San Francisco	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://www.nbo.law/contact-us/	Official contact page for Palo Alto criminal defense firm.
Law Offices of Majeed S. Samara	Majeed Samara	https://www.samaralaw.com	(650) 437-5230		https://www.samaralaw.com/contact/	San Mateo; San Francisco; Santa Clara; Alameda	DUI; reckless driving; domestic violence; assault; drug possession/sales; theft; probation violation	https://www.samaralaw.com/contact/	Official contact page.
Ginny Walia Law Offices	Ginny Walia	https://www.walialaw.com	(925) 460-6200	info@walialaw.com	https://www.walialaw.com/contact/	Alameda; Contra Costa; Santa Clara	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://www.walialaw.com/contact/	Official contact page.
Gorelick Law Offices	Gorelick Law	https://www.gorelick-law.com	(925) 847-9000		https://www.gorelick-law.com/contact-us/	Alameda; Contra Costa; Santa Clara	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.gorelick-law.com/contact-us/	Official contact page.
Law Offices of Leon J. Mezzetti, Jr.	Mezzetti Law	https://www.mezzetti.com	(408) 279-8400		https://www.mezzetti.com/	Santa Clara; Alameda; San Mateo	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.mezzetti.com/	Official criminal defense site.
Tully & Weiss Attorneys at Law	Tully & Weiss	https://tully-weiss.com	(925) 229-9700		https://tully-weiss.com/contact/	Contra Costa; Alameda; Solano	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://tully-weiss.com/contact/	Official contact page.
Law Offices of Johnson & Johnson	Johnson & Johnson	https://www.johnsoncriminaldefense.com	(925) 472-5522		https://www.johnsoncriminaldefense.com/	Contra Costa; Alameda; Solano	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.johnsoncriminaldefense.com/	Official criminal defense site with contact form.
Law Office of Roberta Brooks	Roberta Brooks	https://criminaldefender.com	(925) 228-9100		https://criminaldefender.com/	Contra Costa; Alameda; Solano	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://criminaldefender.com/	Official site for criminal defense in Contra Costa.
Law Office of Derek R. Ewin	Derek Ewin	https://www.drewinlaw.com	(925) 228-1600	drewin@drewinlaw.com	https://www.drewinlaw.com/	Contra Costa; Alameda; Solano	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://www.drewinlaw.com/	Official site with phone and email.
Law Office of Thomas Daly	Thomas Daly	https://www.thomasdalyconsulting.com	(925) 937-8700		https://www.thomasdalyconsulting.com/	Contra Costa; Alameda; Solano	DUI; domestic violence; assault; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://www.thomasdalyconsulting.com/	Official site/contact page for Walnut Creek criminal defense attorney.
Valiente Law Firm	Valiente Law	https://www.valientelawfirm.com	(925) 674-7020		https://www.valientelawfirm.com/criminal-defense/	Contra Costa; Alameda; Solano	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.valientelawfirm.com/criminal-defense/	Official criminal-defense page.
The Blalock Law Firm	Blalock Law	https://www.theblalocklawfirm.com	(925) 407-5876		https://www.theblalocklawfirm.com/	Contra Costa; Alameda; Solano	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.theblalocklawfirm.com/	Official site with contact form.
Moyal & Moyal	Moyal & Moyal	https://www.moyaldefenselaw.com	(925) 437-2424	kenmoyal@gmail.com	https://www.moyaldefenselaw.com/	Contra Costa; Alameda; Solano	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.moyaldefenselaw.com/	Official criminal-defense site with email.
Semansky Law Firm	Semansky Law	https://www.semansky.com	(925) 856-6800	info@semansky.com	https://www.semansky.com/	Contra Costa; Alameda; Solano	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://www.semansky.com/	Official site with phone, email, and form.
Law Offices of Jesse J. Garcia	Jesse Garcia	https://www.jessejgarcialaw.com	(925) 247-0094	jesse@jessejgarcialaw.com	https://www.jessejgarcialaw.com/	Contra Costa; Alameda; Solano	DUI; domestic violence; assault; drug possession/sales; theft; robbery; burglary; probation violation	https://www.jessejgarcialaw.com/	Official criminal-defense site with email.
The Maher Law Group	Maher Law Group	https://www.themaherlawgroup.com	(415) 782-5888		https://www.themaherlawgroup.com/contact-us/	Alameda; Contra Costa; San Francisco; Solano	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.themaherlawgroup.com/contact-us/	Official contact page.
Cello & Maudru	Cello Law	https://www.cellolaw.com	(650) 508-1536		https://www.cellolaw.com/	San Mateo; Santa Clara; San Francisco	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://www.cellolaw.com/	Official criminal-defense site.
Steve Spiegelman, Attorney at Law	Steve Spiegelman	https://www.stevespiegelman.com	(707) 963-1912		https://www.stevespiegelman.com/	Napa; Sonoma; Solano	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.stevespiegelman.com/	Official criminal-defense site.
Bergstrom & Bruce	Bergstrom Bruce	https://www.bergstrom-bruce.com	(707) 927-7144		https://www.bergstrom-bruce.com/	Napa; Sonoma; Solano	DUI; domestic violence; assault; firearm; drug possession/sales; theft; probation violation; reckless driving	https://www.bergstrom-bruce.com/	Official criminal and DUI defense site.
Law Offices of Jonathan Steele	Jonathan Steele	https://www.steelelaw.org	(707) 648-9046		https://www.steelelaw.org/	Solano; Napa; Sonoma	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.steelelaw.org/	Official Vallejo criminal-defense site.
Law Office of Johann Hall	Johann Hall	https://www.johannhall.com	(707) 546-1999		https://www.johannhall.com/	Sonoma; Marin; Napa	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.johannhall.com/	Official criminal-defense site.
Walter Rubenstein Criminal Defense	Walter Rubenstein	https://walterrubensteinlaw.com	(707) 546-4545		https://walterrubensteinlaw.com/	Sonoma; Marin; Napa	DUI; domestic violence; assault; drug possession/sales; theft; robbery; burglary; probation violation	https://walterrubensteinlaw.com/	Official criminal-defense site.
Andrian & Gallenson	Andrian Gallenson	https://www.getyourcasefixed.com	(707) 527-9555		https://www.getyourcasefixed.com/	Sonoma; Marin; Napa	DUI; reckless driving; domestic violence; assault; firearm; drug possession/sales; theft; probation violation	https://www.getyourcasefixed.com/	Official criminal and DUI defense site with intake form.
Law Office of Orchid Vaghti	Orchid Vaghti	https://www.orchidvaghticriminaldefense.com	(707) 595-0912		https://www.orchidvaghticriminaldefense.com/	Sonoma; Marin; Napa	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.orchidvaghticriminaldefense.com/	Official North Bay criminal-defense site.
Morgan H. Daly Attorney at Law	Morgan Daly	https://morgandaly.com	(415) 492-6800		https://morgandaly.com/	Marin; Sonoma; San Francisco; Napa	DUI; domestic violence; assault; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://morgandaly.com/	Official criminal-defense site.
Somers Law Office	Somers Law	https://www.somerslawoffice.com	(707) 200-2734		https://www.somerslawoffice.com/	Sonoma; Marin; Napa	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.somerslawoffice.com/	Official site with criminal-defense inquiry form.
Raphael Law	Raphael Law	https://www.napacriminallaw.com	(707) 271-0141	NapaCriminalLawyer@gmail.com	https://www.napacriminallaw.com/	Napa; Solano	DUI; domestic violence; assault; drug possession/sales; theft; robbery; burglary; probation violation	https://www.napacriminallaw.com/	Official Napa/Solano criminal-defense site.
Emerick Law Offices	Emerick Law	https://www.emericklawoffices.com	(707) 800-9529	Scott@emericklawoffices.com	https://www.emericklawoffices.com/contact.html	Sonoma; Marin; Napa	DUI; assault; firearm; drug possession/sales; theft; probation violation	https://www.emericklawoffices.com/contact.html	Official contact page with email and form.
